question,answer,source
<@U7T0QAEBA> <@U05D95QBSTD> 早い時間で申し訳ないけど、明日9:00-9:30でミーティング入れました。スーパーエンタープライズ営業分析に向けたデータ整備を開始したく、やることを整理しましょう,<@U7T0QAEBA> <@U05D95QBSTD> 早い時間で申し訳ないけど、明日9:00-9:30でミーティング入れました。スーパーエンタープライズ営業分析に向けたデータ整備を開始したく、やることを整理しましょう,Slack #corp-it-engineering-data-enablement
*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny: / マインド:sunny:：寝た  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのSnowflakeへの接続:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 職歴データを営業利用できる範囲をリーガルに確認する:済:     ◦ データ整備のスケジュール整理:済: • OKR外     ◦ システム投資方針:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ システム投資予算の確認:済:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ アイスタイル社ヒアリング:まだ_mada_bdt:     ◦ リバネス社ヒアリング:まだ_mada_bdt:     ◦ 販売管理自動・半自動の起案内容を整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタ分析に向けたデータ整備の設計、リバネス社・アイスタイル社ヒアリング項目決め、UB Analytics定例、 ・【その他】システム投資ルールの策定、Domain1on1、採用面接  *■困っていることや連絡事項、感想などなんでも* 引き続き筋肉痛。タンパク質を摂る。,*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny: / マインド:sunny:：寝た  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのSnowflakeへの接続:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 職歴データを営業利用できる範囲をリーガルに確認する:済:     ◦ データ整備のスケジュール整理:済: • OKR外     ◦ システム投資方針:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ システム投資予算の確認:済:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ アイスタイル社ヒアリング:まだ_mada_bdt:     ◦ リバネス社ヒアリング:まだ_mada_bdt:     ◦ 販売管理自動・半自動の起案内容を整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタ分析に向けたデータ整備の設計、リバネス社・アイスタイル社ヒアリング項目決め、UB Analytics定例、 ・【その他】システム投資ルールの策定、Domain1on1、採用面接  *■困っていることや連絡事項、感想などなんでも* 引き続き筋肉痛。タンパク質を摂る。,Slack #corp-it-engineering-data-enablement
*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:cloud: / マインド:cloud:：寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのSnowflakeへの接続:済:     ◦ 職歴データを営業利用できる範囲をリーガルに確認する:済:     ◦ データ整備のスケジュール整理:済: • OKR外     ◦ システム投資方針:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ システム投資予算の確認:済:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ アイスタイル社ヒアリング:まだ_mada_bdt:     ◦ リバネス社ヒアリング:まだ_mada_bdt:     ◦ 販売管理自動・半自動の起案内容を整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタ定例、リバネス社・アイスタイル社ヒアリング ・【その他】システム投資ルールの策定、Domain1on1、販売管理自動・半自動の起案内容を整理  *■困っていることや連絡事項、感想などなんでも* SysOps Domainタスクのシステム投資ルール策定をようやく完了。その他粛々と進める。,*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:cloud: / マインド:cloud:：寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのSnowflakeへの接続:済:     ◦ 職歴データを営業利用できる範囲をリーガルに確認する:済:     ◦ データ整備のスケジュール整理:済: • OKR外     ◦ システム投資方針:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ システム投資予算の確認:済:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ アイスタイル社ヒアリング:まだ_mada_bdt:     ◦ リバネス社ヒアリング:まだ_mada_bdt:     ◦ 販売管理自動・半自動の起案内容を整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタ定例、リバネス社・アイスタイル社ヒアリング ・【その他】システム投資ルールの策定、Domain1on1、販売管理自動・半自動の起案内容を整理  *■困っていることや連絡事項、感想などなんでも* SysOps Domainタスクのシステム投資ルール策定をようやく完了。その他粛々と進める。,Slack #corp-it-engineering-data-enablement
<@U05D95QBSTD> 当日で申し訳ないんだけど、依頼したいことがあって11時にMTG入れました。参加できそう？,<@U05D95QBSTD> 当日で申し訳ないんだけど、依頼したいことがあって11時にMTG入れました。参加できそう？,Slack #corp-it-engineering-data-enablement
<!subteam^S0461TNTX88> 先ほどのMTGの録画は以下に置きました（Notionメモにもリンク貼り付け済み） <https://drive.google.com/drive/u/0/folders/1rv3-xf5XP7cwuA00i3Acw89_OuzxMkXx>,<!subteam^S0461TNTX88> 先ほどのMTGの録画は以下に置きました（Notionメモにもリンク貼り付け済み） <https://drive.google.com/drive/u/0/folders/1rv3-xf5XP7cwuA00i3Acw89_OuzxMkXx>,Slack #corp-it-engineering-data-enablement
<!subteam^S0461TNTX88> MTG入れますか？,<!subteam^S0461TNTX88> MTG入れますか？,Slack #corp-it-engineering-data-enablement
*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:umbrella_with_rain_drops: / マインド:cloud:：寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのSnowflakeへの接続:済:     ◦ 職歴データを営業利用できる範囲をリーガルに確認する:済:     ◦ データ整備のスケジュール整理:済: • OKR外     ◦ システム投資方針:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ システム投資予算の確認:済:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ アイスタイル社ヒアリング:済:     ◦ リバネス社ヒアリング:済:     ◦ 販売管理自動・半自動の起案内容を整理:済: *■今日やること* ・【DED】Studio Ousia MTG ・【その他】Domain1on1  *■困っていることや連絡事項、感想などなんでも* 寝不足なので緩く稼動します,*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:umbrella_with_rain_drops: / マインド:cloud:：寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのSnowflakeへの接続:済:     ◦ 職歴データを営業利用できる範囲をリーガルに確認する:済:     ◦ データ整備のスケジュール整理:済: • OKR外     ◦ システム投資方針:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ システム投資予算の確認:済:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ アイスタイル社ヒアリング:済:     ◦ リバネス社ヒアリング:済:     ◦ 販売管理自動・半自動の起案内容を整理:済: *■今日やること* ・【DED】Studio Ousia MTG ・【その他】Domain1on1  *■困っていることや連絡事項、感想などなんでも* 寝不足なので緩く稼動します,Slack #corp-it-engineering-data-enablement
<!subteam^S0461TNTX88> Team OKRの変更案を作りました。KR3として、KW社を入れた場合のデータ分析の体制を整備することを検討しています。  アウトプットイメージとしては、以下のFigjamについて①どこを誰が担当するのか、②最終的な責任はそれぞれ誰が持つのか（データ、Snowflake、Tableau等）、を整理する感じです。整理次第、各PJに適用する。 <https://www.figma.com/file/OCodvYisxLYkfpi9CCFCSx/%E3%83%87%E3%83%BC%E3%82%BF%E6%B4%BB%E7%94%A8%E3%83%97%E3%83%AD%E3%82%BB%E3%82%B9?type=whiteboard&amp;node-id=0-1&amp;t=RSVkrwjuqqiRGJHE-0|https://www.figma.com/file/OCodvYisxLYkfpi9CCFCSx/%E3%83%87%E3%83%BC%E3%82%BF%E6%B4[…]2%BB%E3%82%B9?type=whiteboard&amp;node-id=0-1&amp;t=RSVkrwjuqqiRGJHE-0>  ざっと見てもらい、来週のチーム定例でコメントください,<!subteam^S0461TNTX88> Team OKRの変更案を作りました。KR3として、KW社を入れた場合のデータ分析の体制を整備することを検討しています。  アウトプットイメージとしては、以下のFigjamについて①どこを誰が担当するのか、②最終的な責任はそれぞれ誰が持つのか（データ、Snowflake、Tableau等）、を整理する感じです。整理次第、各PJに適用する。 <https://www.figma.com/file/OCodvYisxLYkfpi9CCFCSx/%E3%83%87%E3%83%BC%E3%82%BF%E6%B4%BB%E7%94%A8%E3%83%97%E3%83%AD%E3%82%BB%E3%82%B9?type=whiteboard&amp;node-id=0-1&amp;t=RSVkrwjuqqiRGJHE-0|https://www.figma.com/file/OCodvYisxLYkfpi9CCFCSx/%E3%83%87%E3%83%BC%E3%82%BF%E6%B4[…]2%BB%E3%82%B9?type=whiteboard&amp;node-id=0-1&amp;t=RSVkrwjuqqiRGJHE-0>  ざっと見てもらい、来週のチーム定例でコメントください,Slack #corp-it-engineering-data-enablement
*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:cloud: / マインド:sunny:：すこし腹痛と寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 特定の社員について、①どのようなデータを収集・可視化するか、②どのようにデータを収集するか、整理する:まだ_mada_bdt:     ◦ 開発会議にBDR管理のシステム化を起案する:まだ_mada_bdt:     ◦ 顧問マスタのデータ最新化:まだ_mada_bdt:     ◦ 顧問データチェック・ダッシュボード作成:まだ_mada_bdt:     ◦ その他データチェック・ダッシュボード作成:まだ_mada_bdt: • OKR外     ◦ UB Research月次報告会:まだ_mada_bdt:     ◦ HD経営会議（取締役会事前審議）:まだ_mada_bdt:     ◦ 株主連絡会:まだ_mada_bdt:     ◦ SysOps Domain定例:まだ_mada_bdt:     ◦ SysOps Domain 全体1on1:まだ_mada_bdt:     ◦ SaaS経営会議:まだ_mada_bdt:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】人事分析MTG、1on1、UB Research月次報告会 ・【その他】Domain1on1、HD経営会議（取締役会事前審議）、SaaS Operation構築 Weekly、株主連絡会 w/Carlyle  *■困っていることや連絡事項、感想などなんでも* 激辛ラーメンを食べたら夜中に腹痛に。今日は安静にします。,*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:cloud: / マインド:sunny:：すこし腹痛と寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 特定の社員について、①どのようなデータを収集・可視化するか、②どのようにデータを収集するか、整理する:まだ_mada_bdt:     ◦ 開発会議にBDR管理のシステム化を起案する:まだ_mada_bdt:     ◦ 顧問マスタのデータ最新化:まだ_mada_bdt:     ◦ 顧問データチェック・ダッシュボード作成:まだ_mada_bdt:     ◦ その他データチェック・ダッシュボード作成:まだ_mada_bdt: • OKR外     ◦ UB Research月次報告会:まだ_mada_bdt:     ◦ HD経営会議（取締役会事前審議）:まだ_mada_bdt:     ◦ 株主連絡会:まだ_mada_bdt:     ◦ SysOps Domain定例:まだ_mada_bdt:     ◦ SysOps Domain 全体1on1:まだ_mada_bdt:     ◦ SaaS経営会議:まだ_mada_bdt:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】人事分析MTG、1on1、UB Research月次報告会 ・【その他】Domain1on1、HD経営会議（取締役会事前審議）、SaaS Operation構築 Weekly、株主連絡会 w/Carlyle  *■困っていることや連絡事項、感想などなんでも* 激辛ラーメンを食べたら夜中に腹痛に。今日は安静にします。,Slack #corp-it-engineering-data-enablement
<!subteam^S0461TNTX88> 今日チーム定例入っていましたが、先週水曜にやったばかりなのでスキップします。,<!subteam^S0461TNTX88> 今日チーム定例入っていましたが、先週水曜にやったばかりなのでスキップします。,Slack #corp-it-engineering-data-enablement
<@U05D95QBSTD> 来週月曜9時にMTG入れたいんだけど、参加できる？,<@U05D95QBSTD> 来週月曜9時にMTG入れたいんだけど、参加できる？,Slack #corp-it-engineering-data-enablement
*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny::cloud: / マインド:sunny:：寝た  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 特定の社員について、①どのようなデータを収集・可視化するか、②どのようにデータを収集するか、整理する:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 開発会議にBDR管理のシステム化を起案する:済:     ◦ 顧問マスタのデータ最新化:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 顧問データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ その他データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt: • OKR外     ◦ UB Research月次報告会:済:     ◦ HD経営会議（取締役会事前審議）:済:     ◦ 株主連絡会:済:     ◦ SysOps Domain定例:まだ_mada_bdt:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ SaaS経営会議:まだ_mada_bdt:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】アイスタイル社・リバネス社ヒアリング内容の整理、 ・【その他】Domain1on1、SaaS経営会議、システム開発リード定例、SysOps Domain定例、スーパーエンタISアウトプットレビュー  *■困っていることや連絡事項、感想などなんでも* やや喉が痛いので気をつける,*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny::cloud: / マインド:sunny:：寝た  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 特定の社員について、①どのようなデータを収集・可視化するか、②どのようにデータを収集するか、整理する:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 開発会議にBDR管理のシステム化を起案する:済:     ◦ 顧問マスタのデータ最新化:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 顧問データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ その他データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt: • OKR外     ◦ UB Research月次報告会:済:     ◦ HD経営会議（取締役会事前審議）:済:     ◦ 株主連絡会:済:     ◦ SysOps Domain定例:まだ_mada_bdt:     ◦ SysOps Domain 全体1on1:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ SaaS経営会議:まだ_mada_bdt:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】アイスタイル社・リバネス社ヒアリング内容の整理、 ・【その他】Domain1on1、SaaS経営会議、システム開発リード定例、SysOps Domain定例、スーパーエンタISアウトプットレビュー  *■困っていることや連絡事項、感想などなんでも* やや喉が痛いので気をつける,Slack #corp-it-engineering-data-enablement
<!subteam^S0461TNTX88> 12月上旬に開発優先順位会議があり、そこで来年1Qに対応していく案件を決めていきたいと思います。 *もし依頼を受けているもので起案されていない案件があれば、起案するようにユーザーに依頼してください。*  また、UB Analyticsでユースケース対応できる工数・案件数のキャパシティは以下を見込んでます。  • UB Analytics工数： 1.0人/月      ◦ Finance/Ops/Legal案件：0.3人/月         ▪︎ 主導型1件 or 伴走型4件     ◦ SaaS案件：0.5人/月         ▪︎ 主導型1件+伴走型3件 or 伴走型7件     ◦ HR案件：0.2         ▪︎ 伴走型2件 ※メソドロジック社・システムアイ社・キーウォーカー社によるDWH・マート・BI構築関連のリソースは上記工数に含めていない ※合計値（1.0人/月）は<https://docs.google.com/spreadsheets/d/1M9w5HG-sdkJq4IZ_S1NVHGQgtgwOWOr9JdYGPtnsM_8/edit#gid=154752319|R&R>の「データ活用イネーブルメント」を集計 ※各組織ごとの稼働人数はHDイシューリスト上の項目数から概算  ■前提 • 伴走型1案件あたりの平均的な工数感　⇒　月12時間程度（0.07人/月）     ◦ 定例 0.5時間/週 x 2名     ◦ タスク消化 1時間/週 x 2名 • 主導型1案件あたりの平均的な工数感　⇒　月48時間程度（0.3人/月）     ◦ 定例 1時間/週 x 2名     ◦ タスク消化 5時間/週 x 2名,<!subteam^S0461TNTX88> 12月上旬に開発優先順位会議があり、そこで来年1Qに対応していく案件を決めていきたいと思います。 *もし依頼を受けているもので起案されていない案件があれば、起案するようにユーザーに依頼してください。*  また、UB Analyticsでユースケース対応できる工数・案件数のキャパシティは以下を見込んでます。  • UB Analytics工数： 1.0人/月      ◦ Finance/Ops/Legal案件：0.3人/月         ▪︎ 主導型1件 or 伴走型4件     ◦ SaaS案件：0.5人/月         ▪︎ 主導型1件+伴走型3件 or 伴走型7件     ◦ HR案件：0.2         ▪︎ 伴走型2件 ※メソドロジック社・システムアイ社・キーウォーカー社によるDWH・マート・BI構築関連のリソースは上記工数に含めていない ※合計値（1.0人/月）は<https://docs.google.com/spreadsheets/d/1M9w5HG-sdkJq4IZ_S1NVHGQgtgwOWOr9JdYGPtnsM_8/edit#gid=154752319|R&R>の「データ活用イネーブルメント」を集計 ※各組織ごとの稼働人数はHDイシューリスト上の項目数から概算  ■前提 • 伴走型1案件あたりの平均的な工数感　⇒　月12時間程度（0.07人/月）     ◦ 定例 0.5時間/週 x 2名     ◦ タスク消化 1時間/週 x 2名 • 主導型1案件あたりの平均的な工数感　⇒　月48時間程度（0.3人/月）     ◦ 定例 1時間/週 x 2名     ◦ タスク消化 5時間/週 x 2名,Slack #corp-it-engineering-data-enablement
<@U7T0QAEBA> <@U05D95QBSTD> <@U0RR5KY90> すみませんが今日15時から入ってたスーパーエンタ関連のMTGを、明日10時半に移動させてもらいました,<@U7T0QAEBA> <@U05D95QBSTD> <@U0RR5KY90> すみませんが今日15時から入ってたスーパーエンタ関連のMTGを、明日10時半に移動させてもらいました,Slack #corp-it-engineering-data-enablement
*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny: / マインド:sunny:：寝た  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 特定の社員について、①どのようなデータを収集・可視化するか、②どのようにデータを収集するか、整理する:済:     ◦ 開発会議にBDR管理のシステム化を起案する:済:     ◦ 顧問マスタのデータ最新化:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 顧問データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ その他データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt: • OKR外     ◦ UB Research月次報告会:済:     ◦ HD経営会議（取締役会事前審議）:済:     ◦ 株主連絡会:済:     ◦ SysOps Domain定例:済:     ◦ SysOps Domain 全体1on1:済:     ◦ SaaS経営会議:済:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタISアウトプットレビュー ・【その他】出資検討資料の作成、SP-IN同時販売の課題対応  *■困っていることや連絡事項、感想などなんでも* SalesOps/BPR周りで課題が発生してるので優先対応する,*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny: / マインド:sunny:：寝た  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 特定の社員について、①どのようなデータを収集・可視化するか、②どのようにデータを収集するか、整理する:済:     ◦ 開発会議にBDR管理のシステム化を起案する:済:     ◦ 顧問マスタのデータ最新化:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 顧問データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ その他データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt: • OKR外     ◦ UB Research月次報告会:済:     ◦ HD経営会議（取締役会事前審議）:済:     ◦ 株主連絡会:済:     ◦ SysOps Domain定例:済:     ◦ SysOps Domain 全体1on1:済:     ◦ SaaS経営会議:済:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタISアウトプットレビュー ・【その他】出資検討資料の作成、SP-IN同時販売の課題対応  *■困っていることや連絡事項、感想などなんでも* SalesOps/BPR周りで課題が発生してるので優先対応する,Slack #corp-it-engineering-data-enablement
<@U7T0QAEBA> PXのユースケースで組織ごとの人数を集計するダッシュボードってどこかに作ってるっけ？,<@U7T0QAEBA> PXのユースケースで組織ごとの人数を集計するダッシュボードってどこかに作ってるっけ？,Slack #corp-it-engineering-data-enablement
*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny: / マインド:sunny:：すこし寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのデータ最新化:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 顧問データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ その他データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ Ph.1の分析を開始する:まだ_mada_bdt: • OKR外     ◦ UB Research月次報告会:済:     ◦ HD経営会議（取締役会事前審議）:済:     ◦ 株主連絡会:済:     ◦ SysOps Domain定例:済:     ◦ SysOps Domain 全体1on1:済:     ◦ SaaS経営会議:済:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタ定例、データ分析MTG、共同研究MTG、DED定例 ・【その他】リスク管理委員会、HD経営会議、出資検討資料の作成、SP-IN同時販売の課題対応、HDイシューリストの更新期日確認、開発会議起案確認、シンプルルール周知検討、  *■困っていることや連絡事項、感想などなんでも* 細かいタスクがいろいろ発生してるので、今日中にできるだけ進める。 先週買った筋トレの本が面白い。,*今日の体調とマインドは？（*:sunny::cloud::umbrella_with_rain_drops:*）* 体調:sunny: / マインド:sunny:：すこし寝不足  *■今週の優先事項とステータス（*:まだ_mada_bdt::進行中_しんこう_shinko-chu_sinko_bdt::済:*）* • `O1KR1. データ分析を実行し、インサイトを引き出す`     ◦ 顧問マスタのデータ最新化:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ 顧問データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ その他データチェック・ダッシュボード作成:進行中_しんこう_shinko-chu_sinko_bdt:     ◦ Ph.1の分析を開始する:まだ_mada_bdt: • OKR外     ◦ UB Research月次報告会:済:     ◦ HD経営会議（取締役会事前審議）:済:     ◦ 株主連絡会:済:     ◦ SysOps Domain定例:済:     ◦ SysOps Domain 全体1on1:済:     ◦ SaaS経営会議:済:     ◦ アイスタイル社・リバネス社ヒアリング内容の整理:まだ_mada_bdt: *■今日やること* ・【DED】スーパーエンタ定例、データ分析MTG、共同研究MTG、DED定例 ・【その他】リスク管理委員会、HD経営会議、出資検討資料の作成、SP-IN同時販売の課題対応、HDイシューリストの更新期日確認、開発会議起案確認、シンプルルール周知検討、  *■困っていることや連絡事項、感想などなんでも* 細かいタスクがいろいろ発生してるので、今日中にできるだけ進める。 先週買った筋トレの本が面白い。,Slack #corp-it-engineering-data-enablement
<@U05D95QBSTD> Ph.1の分析を今日進めてしまおうと思うから、Ph.2のデータ追加をはやめに進めてもらいたいんだけど可能？,<@U05D95QBSTD> Ph.1の分析を今日進めてしまおうと思うから、Ph.2のデータ追加をはやめに進めてもらいたいんだけど可能？,Slack #corp-it-engineering-data-enablement
<!subteam^S0461TNTX88> 水曜に入れているチームビジョンを考える時間ですが、今週ちょっと時間ないのと、せっかく来週12/6にDED忘年会があるので、12/6にできるだけオフラインでやりませんか？（もし忘年会不参加の人がいればハイブリッドで),<!subteam^S0461TNTX88> 水曜に入れているチームビジョンを考える時間ですが、今週ちょっと時間ないのと、せっかく来週12/6にDED忘年会があるので、12/6にできるだけオフラインでやりませんか？（もし忘年会不参加の人がいればハイブリッドで),Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 各プロダクトのアカウントデータをSalesforceデータと接続させる際のキーって、それぞれどれかわかりますか？試しにデータ連携してみたく。,<@U02LMETN883> 各プロダクトのアカウントデータをSalesforceデータと接続させる際のキーって、それぞれどれかわかりますか？試しにデータ連携してみたく。,Slack #corp-it-engineering-data-enablement
